id	file	taken	taken-unix	recvd	recvd-unix	target	range-km	filter1	filter2	image-url	download-as
320024	N00231307.jpg	20141130	1417305600	20141201	1417392000	TITAN	2104044	BL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231307.jpg	20141130.N00231307.TITAN.BL1.CL2.2104044.jpg
320025	N00231308.jpg	20141130	1417305600	20141201	1417392000	TITAN	2103808	CL1	UV3	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231308.jpg	20141130.N00231308.TITAN.CL1.UV3.2103808.jpg
320026	N00231309.jpg	20141130	1417305600	20141201	1417392000	POLYDEUCES	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231309.jpg	20141130.N00231309.POLYDEUCES.CL1.CL2.0.jpg
320027	N00231310.jpg	20141130	1417305600	20141201	1417392000	POLYDEUCES	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231310.jpg	20141130.N00231310.POLYDEUCES.CL1.CL2.0.jpg
320028	N00231311.jpg	20141130	1417305600	20141201	1417392000	PALLENE	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231311.jpg	20141130.N00231311.PALLENE.CL1.CL2.0.jpg
320029	N00231312.jpg	20141130	1417305600	20141201	1417392000	PALLENE	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231312.jpg	20141130.N00231312.PALLENE.CL1.CL2.0.jpg
320030	N00231313.jpg	20141130	1417305600	20141201	1417392000	JANUS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231313.jpg	20141130.N00231313.JANUS.CL1.CL2.0.jpg
320031	N00231314.jpg	20141130	1417305600	20141201	1417392000	JANUS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231314.jpg	20141130.N00231314.JANUS.CL1.CL2.0.jpg
320032	N00231315.jpg	20141130	1417305600	20141201	1417392000	ATLAS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231315.jpg	20141130.N00231315.ATLAS.CL1.CL2.0.jpg
320033	N00231316.jpg	20141130	1417305600	20141201	1417392000	ATLAS	0	CL1	CL2	http://saturn.jpl.nasa.gov/multimedia/images/raw/casJPGFullS86/N00231316.jpg	20141130.N00231316.ATLAS.CL1.CL2.0.jpg
